customer_id,date,handler_id,inquiry,answer
C00003901,2020/12/10,35986,旅行のキャンセルをしたい,キャンセルポリシーをご案内し、手続きを行いました。
C00005383,2020/6/30,64419,商品内容の詳細について,説明を実施しました。
C00008871,2024/3/27,36071,クレーム,謝罪し改めて説明しました。
C00001769,2021/4/5,74306,旅行中のトラブル,事情の確認を行い、保険会社に連絡しました。
C00009442,2020/2/17,46853,予定変更,航空券・ホテルを再度手配しました。
C00005442,2021/5/22,11924,支払い方法を変更したい,変更後の支払い方法を登録しました。
C00006595,2023/9/17,35155,支払い方法を変更したい,変更後の支払い方法を登録しました。
C00003815,2022/5/4,15369,Wi-Fiレンタルの詳細を知りたい,Wi-Fiレンタルサービスをご案内しました。
C00008857,2024/8/16,88347,飛行機の座席指定を変更したい,座席変更の手続きを完了しました。
C00009844,2020/12/9,40684,予約内容を確認したい,予約内容を確認し、詳細をお伝えしました。
C00007063,2024/1/13,49176,支払い方法を変更したい,変更後の支払い方法を登録しました。
C00001118,2023/4/13,23301,家族割引について知りたい,家族割引の適用条件をお知らせしました。
C00000130,2020/12/21,33558,飛行機の座席指定を変更したい,座席変更の手続きを完了しました。
C00006261,2022/8/16,74666,予約内容を確認したい,予約内容を確認し、詳細をお伝えしました。
C00009487,2024/6/28,83569,予約内容を確認したい,予約内容を確認し、詳細をお伝えしました。
C00009972,2020/12/7,85077,スーツケースが壊れてしまった,スーツケース補償の手続きを進めました。
C00008216,2020/10/4,56496,家族割引について知りたい,家族割引の適用条件をお知らせしました。
C00005763,2020/3/8,53930,支払い方法を変更したい,変更後の支払い方法を登録しました。
C00001306,2020/2/18,93406,旅行のキャンセルをしたい,キャンセルポリシーをご案内し、手続きを行いました。
C00004184,2024/8/24,55760,ツアーガイドの連絡先が知りたい,ツアーガイドの連絡先をお伝えしました。
C00009194,2023/5/4,47786,食事のアレルギー対応をお願いしたい,アレルギー対応を現地のレストランに依頼しました。
C00008151,2021/11/22,98502,旅行プランの詳細を教えてほしい,旅行プランの詳細資料をメールで送付しました。
C00006303,2023/3/20,34662,ツアーガイドの連絡先が知りたい,ツアーガイドの連絡先をお伝えしました。
C00005395,2024/7/15,66173,滞在中のホテルで追加料金が発生した,ホテルへの問い合わせを行い、追加料金の詳細を確認しました。
C00003567,2024/7/30,86536,旅程を変更したい,変更した旅程をご確認いただきました。
C00007451,2020/5/21,73539,支払い方法を変更したい,変更後の支払い方法を登録しました。
C00002899,2023/6/28,60062,現地で使えるSIMカードについて教えてほしい,現地SIMカードの購入場所をお知らせしました。
C00003021,2020/4/24,73291,スーツケースが壊れてしまった,スーツケース補償の手続きを進めました。
C00008395,2023/11/25,36061,観光地のガイドを手配したい,観光地ガイドの予約が完了しました。
C00004562,2023/9/30,55678,領収書を発行してほしい,領収書を発行し、郵送いたしました。
C00001004,2022/12/1,66835,家族割引について知りたい,家族割引の適用条件をお知らせしました。
C00002490,2020/4/6,79405,旅行プランの詳細を教えてほしい,旅行プランの詳細資料をメールで送付しました。
C00003641,2020/10/12,37500,予約内容を確認したい,予約内容を確認し、詳細をお伝えしました。
C00005745,2024/1/4,29401,天候の影響で旅程変更が必要,旅程変更に伴う費用をお知らせしました。
C00006931,2023/7/26,34892,現地で使えるSIMカードについて教えてほしい,現地SIMカードの購入場所をお知らせしました。
C00001330,2021/4/1,63429,ホテルの部屋をアップグレードしたい,追加料金をご案内し、アップグレードを承りました。
C00004681,2021/7/2,12316,旅行保険について教えてほしい,旅行保険のプランをご案内しました。
C00002861,2020/4/9,67874,旅行プランの詳細を教えてほしい,旅行プランの詳細資料をメールで送付しました。
C00000732,2023/5/4,97264,食事のアレルギー対応をお願いしたい,アレルギー対応を現地のレストランに依頼しました。
C00005811,2021/11/13,62478,旅行のキャンセルをしたい,キャンセルポリシーをご案内し、手続きを行いました。
C00004258,2024/4/24,28642,ホテルの部屋をアップグレードしたい,追加料金をご案内し、アップグレードを承りました。
C00004521,2022/2/17,24099,食事のアレルギー対応をお願いしたい,アレルギー対応を現地のレストランに依頼しました。
C00005819,2023/3/14,28043,家族割引について知りたい,家族割引の適用条件をお知らせしました。
C00001108,2021/11/1,93055,飛行機の座席指定を変更したい,座席変更の手続きを完了しました。
C00007927,2024/8/30,12383,空港送迎を予約したい,空港送迎の手配が完了しました。
C00008538,2023/12/7,77081,旅行プランの詳細を教えてほしい,旅行プランの詳細資料をメールで送付しました。
C00002123,2024/12/30,96444,予約内容を確認したい,予約内容を確認し、詳細をお伝えしました。
C00006052,2024/5/19,59144,旅行保険について教えてほしい,旅行保険のプランをご案内しました。
C00008285,2020/5/4,34672,領収書を発行してほしい,領収書を発行し、郵送いたしました。
C00000674,2022/12/28,82562,食事のアレルギー対応をお願いしたい,アレルギー対応を現地のレストランに依頼しました。
C00006852,2023/10/24,32498,旅行のキャンセルをしたい,キャンセルポリシーをご案内し、手続きを行いました。
C00004710,2023/8/30,45379,特別な記念日プランを相談したい,記念日プランをご提案し、予約しました。
C00001725,2022/11/17,75981,特別な記念日プランを相談したい,記念日プランをご提案し、予約しました。
C00005230,2023/3/7,92366,現地で使えるSIMカードについて教えてほしい,現地SIMカードの購入場所をお知らせしました。
C00005415,2020/5/10,40558,空港送迎を予約したい,空港送迎の手配が完了しました。
C00003845,2024/3/5,11953,旅行保険について教えてほしい,旅行保険のプランをご案内しました。
C00002197,2021/11/2,56389,家族割引について知りたい,家族割引の適用条件をお知らせしました。
C00003126,2022/2/9,31057,飛行機の座席指定を変更したい,座席変更の手続きを完了しました。
C00003502,2021/4/14,97247,旅行のキャンセルをしたい,キャンセルポリシーをご案内し、手続きを行いました。
C00007879,2020/3/22,22592,旅行保険について教えてほしい,旅行保険のプランをご案内しました。
C00008126,2020/8/15,84976,旅行のキャンセルをしたい,キャンセルポリシーをご案内し、手続きを行いました。
C00006984,2024/7/9,68432,Wi-Fiレンタルの詳細を知りたい,Wi-Fiレンタルサービスをご案内しました。
C00000670,2021/9/3,68274,旅行のキャンセルをしたい,キャンセルポリシーをご案内し、手続きを行いました。
C00007300,2020/11/29,84271,ホテルの部屋をアップグレードしたい,追加料金をご案内し、アップグレードを承りました。
C00009240,2023/2/3,20555,天候の影響で旅程変更が必要,旅程変更に伴う費用をお知らせしました。
C00001783,2020/4/4,95955,Wi-Fiレンタルの詳細を知りたい,Wi-Fiレンタルサービスをご案内しました。
C00008008,2020/2/8,17270,Wi-Fiレンタルの詳細を知りたい,Wi-Fiレンタルサービスをご案内しました。
C00001401,2023/10/21,33900,現地で使えるSIMカードについて教えてほしい,現地SIMカードの購入場所をお知らせしました。
C00003541,2024/8/30,22485,旅行保険について教えてほしい,旅行保険のプランをご案内しました。
C00006853,2023/3/29,94534,空港送迎を予約したい,空港送迎の手配が完了しました。
C00003628,2021/12/27,52382,ツアーガイドの連絡先が知りたい,ツアーガイドの連絡先をお伝えしました。
C00002748,2021/2/24,57267,観光地のガイドを手配したい,観光地ガイドの予約が完了しました。
C00009704,2020/9/25,33636,食事のアレルギー対応をお願いしたい,アレルギー対応を現地のレストランに依頼しました。
C00009569,2023/2/24,35967,スーツケースが壊れてしまった,スーツケース補償の手続きを進めました。
C00002202,2020/9/20,24486,家族割引について知りたい,家族割引の適用条件をお知らせしました。
C00007983,2021/4/28,92228,旅程を変更したい,変更した旅程をご確認いただきました。
C00000022,2022/4/1,63291,予約内容を確認したい,予約内容を確認し、詳細をお伝えしました。
C00002929,2021/12/23,45715,旅行のキャンセルをしたい,キャンセルポリシーをご案内し、手続きを行いました。
C00000304,2020/8/19,48278,スーツケースが壊れてしまった,スーツケース補償の手続きを進めました。
C00000343,2023/12/19,53259,特別な記念日プランを相談したい,記念日プランをご提案し、予約しました。
C00007918,2024/10/30,31669,天候の影響で旅程変更が必要,旅程変更に伴う費用をお知らせしました。
C00004751,2020/4/17,36742,特別な記念日プランを相談したい,記念日プランをご提案し、予約しました。
C00005326,2023/6/13,29990,空港送迎を予約したい,空港送迎の手配が完了しました。
C00004425,2022/6/1,98488,旅行保険について教えてほしい,旅行保険のプランをご案内しました。
